AFGHANISTAN,AFGH
America,USA
United State,USA
United Stated,USA
The United States,USA
United ststes,USA
Ahem....Amerca,USA
United Statss,USA
murrika,USA
Murica,USA
United staes,USA
USA! USA! USA!,USA
USA USA USA!!!!,USA
UD,USA
New Jersey,USA
Usa ,USA
California,USA
New York,USA
United Sates,USA
Pittsburgh,USA
usas,USA
URUGUAY,URU
UZBEKISTAN,UZB
VANUATU,VANU
VENEZUELA,VENZ
VIETNAM,VTNM
VIRGIN ISLANDS (BRITISH),BRVI
WALLIS AND FUTUNA,WAFT
WESTERN SAHARA,SSAH
YEMEN,YEM
YUGOSLAVIA,YUGO
ZAMBIA,ZAMB
ZIMBABWE,ZIMB
England,GRBR
UK,GRBR
canada ,CAN
Mexico,MEX
u.s.a.,USA
USAUSAUSA,USA
france,FRAN
finland,FIN
unhinged states,USA
uk,GRBR
North Carolina ,USA
Unied States,USA
Earth,USA
U S,USA
U.K.,GRBR
Costa Rica,RICA
The United States of America,USA
unite states,USA
46,USA
cascadia,USA
insanity lately,USA
Greece,GRC
USA? Hard to tell anymore..,USA
'merica,USA
45,USA
32,USA
France,FRAN
australia,ASTL
A,ASTL
Canae,CAN
Trumpistan,USA
Ireland,IRE
Korea,KOR
Japan,JPN
South africa,SAFR
I pretend to be from Canada, but I am really from the United States.,USA
Iceland,ICLD
Canada`,CAN
Scotland,GRBR
Denmark,DEN
Uk,GRBR
South Korea,KOR
Indonesia,IDSA
The Netherlands,NETH
endland,GRBR
Atlantis,USA
Alaska,USA
united States ,USA
soviet canuckistan,RUS
N. America,CAN
Singapore,SING
USSA,USA
China,CHIN
Taiwan,TWAN
Ireland ,IRE
hong kong,HOKO
spain,SPN
UK,GRBR
Sweden,SWDN
Hong Kong,HOKO
u s a,USA
United Statea,USA
united ststes,USA
subscribe to dm4uz3 on youtube,USA
1,USA
I don't know anymore,USA
Fear and Loathing,CAN
Europe,GRBR
U.K. ,GRBR
I pretend to be from Canada, but I am really from the United States.,USA
France ,FRAN
Scotland ,GRBR
Narnia, USA
